indicator_id,dimension,category,parent_row_sha256
C3P223_10_1,Nacional,Total,8f954a533aa6e551b779dfaf1e1fd84c4f3abfd85502363829a60813842a5fd3
C3P223_11_1,Nacional,Total,3242d8b55722515eb91747a963e4a0389eae1cc6a0786250e195486fb4009b66
C3P223_12_1,Nacional,Total,ab01ca1f3f875e7abc0ee1fb41e7d54cd885cc822e136eda85466bfc57e04b04
C3P223_13_1,Nacional,Total,a0d81b40f839b775c9bf93a141575d3aea8716eaa21a9fbf57fd0b8222ad8c40
C3P223_14_1,Nacional,Total,81f6846872c4e84519104f84d220a9002839f7b109c5be03c1db37ee98c0855e
C3P223_1_1,Nacional,Total,0b7203807d6831ada3cd263a1ac7b3e1181168244f48e1deaa8ba2dd17f9ff8f
C3P223_2_1,Nacional,Total,1d8d1d9f7eba633b2545744dda8724b9ce78578b9067cf417c85576950487541
C3P223_3_1,Nacional,Total,b3210ec0d5cc2e205f35555c7069ac9bb0cf907051751d2e8ebf1fe2c752f1e0
C3P223_4_1,Nacional,Total,1ca498eccab155e2bc342154a7c2f698098f1407b0dd8f2412bd1549a239ec92
C3P223_5_1,Nacional,Total,c92571fa12ae682edd40a16de651ba2d79651883b4aed07304934ff8c2abc589
C3P223_6_1,Nacional,Total,33e6c60172f7e26957ef5cfff37aa38b2c5830d5960535d7c5c521047d7d23cb
C3P223_7_1,Nacional,Total,9e1a2fd3fab241e9e2cd1cb301504d2aa6ef1e2a0a6ed4fb646e42eef3c301b0
C3P223_8_1,Nacional,Total,1bce1085b6d6902188eb1aade2ca6fd54c3e653a3d32652987926df731aa0c07
C3P223_9_1,Nacional,Total,d0bd638eb78b3ddd613aec55265637111c368760a3cdc73b2c21ba70a81cc410
C3P227_10_1,Nacional,Total,d97437890eebe61dc88837d5bc36590dfeb5c113ee3f7e9a615ba1a3e7dccd1c
C3P227_1_1,Nacional,Total,77a7582afcb5f0c29b2f968bedffc668cd7d4fc13a9bb27b5f5e9bbaba33f460
C3P227_2_1,Nacional,Total,c226a48acbc4af65ae51e48404d4947012308622e4bb852d353d84d8ded643c3
C3P227_3_1,Nacional,Total,e79835916841a5e5c023c534964ea37fd640cc586a7cf67cd9fb9e46f385c5b0
C3P227_4_1,Nacional,Total,c64874edfab0f776ae63f96f62f8926b8809290865004c7c0feaa85c96df42f7
C3P227_5_1,Nacional,Total,378ee090f9db78962cc20bf9c582a464c3c5b1b51148906fb4f650f6df9e146d
C3P227_6_1,Nacional,Total,27c6634064c9b5ea3f6e1896245f9ed046d570364661ff920cc959339bf2e8c0
C3P227_7_1,Nacional,Total,2501a9ac80bcf4001e982d4fd7dc5c5d7cfeb5cae4555e9483a095226cb39154
C3P227_8_1,Nacional,Total,9904f190554578a8f82d52f90810e8209c47294ebaf2a83b9ce0926e0e09b276
