indicator_id,dimension,category_key,category_occurrence,categoria_spss,pct_spss,es_spss,ci_low_spss,ci_high_spss,cv_spss,n_unw_spss,categoria_r,pct_r,es_r,ci_low_r,ci_high_r,cv_r,n_unw_r,target_unw_r,base_unw_r,local_critical_r,cell_critical_r,pct_igual,es_igual,ci_low_igual,ci_high_igual,cv_igual,n_unw_igual,IGUAL,EXCEPCION_DOCUMENTADA,VALIDADO,estado_fila
VP_ESCUELA,Discapacidad,bin_1,1,Sí,46.0,2.2,41.8,50.2,0.047,2029.0,1,46.00241347971516,2.1594946950832257,41.76517660329434,50.23965035613598,0.0469430738897092,2029.0,955,2029,1.9640483976635408,1.9653578272030217,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Etnicidad,etnicidad_1,1,Indígena andino,39.3,1.3,36.8,41.8,0.032,5249.0,1,39.29575986750219,1.2630864327635052,36.81740397100573,41.77411576399865,0.0321430718485249,5249.0,2144,5249,1.9628366422266053,1.9635757879604208,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Etnicidad,etnicidad_3,1,Indígena amazónico/nativo,34.7,4.4,26.1,43.4,0.127,433.0,3,34.71369431087683,4.413092738813406,26.054576354004773,43.37281226774889,0.1271282940758815,433.0,172,433,1.978524491479245,1.991672609644664,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Etnicidad,etnicidad_5,1,Afrodescendiente,40.0,2.1,35.9,44.1,0.052,1806.0,5,39.96285339729462,2.08601724741832,35.869789762669626,44.05591703191962,0.0521989064864807,1806.0,733,1806,1.96362596651301,1.965641841541636,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Etnicidad,etnicidad_6,1,No indígena ni afrodescendiente,41.2,1.0,39.3,43.1,0.024,8715.0,6,41.19781960280231,0.9748168981290553,39.28508968597729,43.11054951962732,0.023661856562495,8715.0,3445,8715,1.962322551204167,1.9625685559767296,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Etnicidad,etnicidad_9,1,No sabe,39.2,2.0,35.3,43.0,0.05,2604.0,9,39.16480437729177,1.9588180940090432,35.32132364032447,43.008285114259074,0.0500147549605734,2604.0,1028,2604,1.9629115987173988,1.96444156598154,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Lengua materna,idioma_1,1,Castellano,40.4,0.8,38.9,41.9,0.019,17498.0,1,40.41314552696596,0.76543660294914,38.91124963994995,41.91504141398196,0.0189402876952103,17498.0,7017,17498,1.9621649940614447,1.9622172591365907,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Lengua materna,idioma_3,1,Quechua/Aymara,36.5,2.3,32.0,41.0,0.063,958.0,3,36.47976746938579,2.2895321061194545,31.98737862865984,40.97215631011174,0.0627616968238861,958.0,358,958,1.967404973747932,1.972461989767209,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Lengua materna,idioma_4,1,Otra lengua nativa,34.9,4.6,25.8,44.0,0.133,275.0,4,34.854330789496395,4.638920058667673,25.75210739246353,43.95655418652926,0.1330945094509071,275.0,113,275,2.00957523712924,2.0301079282503425,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Nacional,national_single,1,Total,40.2,0.7,38.8,41.6,0.018,18807.0,Total,40.2076414157143,0.730201953593713,38.78361285976112,41.6483834929711,0.0181607756108849,18807.0,7522,18807,1.962142757779508,1.962167038069028,True,True,True,True,True,True,True,False,True,EN_AMBOS
